X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1557302,5167767,4637,,597200,0,,0,2,,Null,2013/2014,GERALD ST,SPRINGS ROAD,,Non-Injury Crash,No,2014,,West,,0,,Flat,,,,,,Dark,2717700,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,70,,On,0,0,,62,Selwyn District,Give way,,,,,0,0,Urban,0,,,Fine,Null
1759173,5905603,4638,,524200,0,,0,2,,North,2016/2017,WESTNEY ROAD,TIMBERLY ROAD,,Minor Crash,No,2017,,North,,0,,Flat,,,,,,Dark,727600,1,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,On,0,0,40,76,Auckland,Unknown,,,,,0,0,Urban,0,,,Light rain,Null
1822403,5529950,4639,,562800,0,,0,2,,Null,2001/2002,BROADWAY AVENUE,VICTORIA AVENUE,,Non-Injury Crash,No,2001,,North,,0,,Flat,,,,,,Bright sun,1829600,0,0,0,2,,,0,,,,,,Manawatu-Wanganui Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,40,Palmerston North City,Give way,,,,,0,0,Urban,0,,,Fine,Null
1923893,5607231,4640,,548612,0,,0,3,,North,2011/2012,LIVINGSTONE ROAD,BURTON CRESCENT,,Serious Crash,No,2011,,North,,0,,Flat,,,,,,Dark,1474002,0,0,0,2,,,0,,,1,,,Hawke's Bay Region,Nil,2-way,Sealed,,0,2,,50,,On,0,0,,30,Hastings District,Nil,,,,,0,0,Urban,1,,,Fine,Null
1403198,4914301,4641,,604221,0,0,0,1,0,West,2005/2006,SH 1S,SOUTH ROAD,,Non-Injury Crash,Yes,2006,0,West,0,0,0,Hill Road,0,,0,,0,Overcast,2910300,0,0,0,4,0,0,0,0,0,,0,1,Otago Region,Nil,2-way,Sealed,0,0,0,0,100,0,Null,0,0,,71,Dunedin City,Unknown,0,0,0,0,0,0,Open,0,0,0,Heavy rain,Null
1884180.874,5826451.486,4642,,536831,0,0,0,2,0,North,2019/2020,OCEAN BEACH ROAD,CONCORD AVENUE,,Serious Crash,No,2019,0,North,0,0,0,Flat,0,,0,,0,Bright sun,1199400,0,0,1,2,0,0,0,0,1,,0,0,Bay of Plenty Region,Nil,2-way,Sealed,0,0,1,0,50,0,Off,0,0,,23,Tauranga City,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1746205,5915692,4643,,511800,0,0,0,1,0,East,2006/2007,VIEW ROAD,WATTLE ROAD,,Non-Injury Crash,No,2007,0,South,0,0,0,Flat,0,,0,,0,Bright sun,276900,0,0,0,2,0,0,0,0,1,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Urban,1,0,0,Fine,Null
1772963,5576940,4644,,556300,0,,0,1,,Null,1999/2000,YORK ST,ALMA ROAD,,Non-Injury Crash,No,2000,,West,,0,,Flat,,,,,,Bright sun,1723500,0,0,0,2,,,0,,,,,,Manawatu-Wanganui Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,37,Whanganui District,Give way,,,,,0,0,Urban,1,,,Fine,Null
1769862,5914774,4645,,522722,0,,0,1,,Null,2010/2011,PAKURANGA ROAD,AVIEMORE DRIVE,,Minor Crash,No,2010,,East,,0,,Flat,,,,,,Overcast,681324,1,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Traffic Signals,,,,,1,0,Urban,0,,,Light rain,Null
1566746,5184826,4646,,588700,0,,0,2,,South,2002/2003,FARRINGTON AVENUE,HAREWOOD ROAD,,Non-Injury Crash,No,2003,,South,,0,,Flat,,,,,,Bright sun,2523400,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,1,,60,Christchurch City,Unknown,,,,,0,0,Urban,0,,,Fine,Null
1936696.608,5621012.146,4647,,546901,0,,0,2,,Null,2019/2020,RAFFLES STREET,MUNROE STREET,,Non-Injury Crash,No,2019,,Null,,0,,Null,,,,,,Unknown,1430100,0,0,0,2,,,0,,,,,,Hawke's Bay Region,Nil,2-way,Null,,0,0,,50,,Null,0,0,,31,Napier City,Give way,,,,,0,0,Urban,0,,,Null,Null
1406146,4917887,4648,,604010,0,,0,2,,Null,2005/2006,DUCHESS AVENUE,QUEENS DRIVE,,Minor Crash,No,2005,,North,,0,,Flat,,,,,,Bright sun,2906002,1,0,0,2,,,0,,,,,,Otago Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,71,Dunedin City,Give way,,,,,0,0,Urban,0,,,Fine,Null
